id,id_turno,data_turno,turno,macchina,lotto,codice_droga,codice_semilavorato,descrizione,kg_droga,kg_liquido,residuo_secco_pct,kg_puro,kg_semilavorato,pct_puro_semilavorato,kg_puro_equivalente,lotti_comber,piano_id,note
HIST-ATOM-0000030242-S26/0171,STORICO-20260724-SPRAY,2026-07-24,,Spray Dryer,S26/0171,,WSDTRXOC14R0400A,Semilavorato Tarassaco radice estratto  secco D/E 4:1,0.0,0,0,202.79999999999995,1012.8,20.02369668246445,405.12,,,STORICO_GESTIONALE_ATOM | Seriale 0000030242 | Taglio da esplosione commessa
HIST-ATOM-0000030193-S26/0169,STORICO-20260721-SPRAY,2026-07-21,,Spray Dryer,S26/0169,,WSDTRNAC08R0400A,Semilavorato Damiana foglia estratto    secco D/E 4:1,0.0,0,0,138.89999999999998,408.9,33.96918561995598,163.56,,,STORICO_GESTIONALE_ATOM | Seriale 0000030193 | Taglio da esplosione commessa
HIST-ATOM-0000030192-S26/0170,STORICO-20260721-SPRAY,2026-07-21,,Spray Dryer,S26/0170,,WSDMLSOC0805000A,"Semilavorato Melissa foglia e.s.acquoso >= 5,0% derivati idrossicinnamici tot. calc.come a",0.0,0,0,106.7,118.7,89.89048020219039,106.7,,,STORICO_GESTIONALE_ATOM | Seriale 0000030192 | Taglio da esplosione commessa
HIST-ATOM-0000030177-S26/0168,STORICO-20260720-SPRAY,2026-07-20,,Spray Dryer,S26/0168,,YSDPSSIC1003500A,Semilavorato Passiflora erba fiorita    estratto secco  >=3.5% flavonoidi totali calc.come,0.0,0,0,52.5,62.5,84.0,52.5,,,STORICO_GESTIONALE_ATOM | Seriale 0000030177 | Taglio da esplosione commessa
HIST-ATOM-0000030176-E26/1975,STORICO-20260720-SPRAY,2026-07-20,,Spray Dryer,E26/1975,,SSDEQSAC0702000A,"Equiseto erba estratto secco >= 2,0%    silice",0.0,0,0,783.87,850.0,92.22,783.87,,,STORICO_GESTIONALE_ATOM | Seriale 0000030176 | Taglio da esplosione commessa
HIST-ATOM-0000030170-S26/0164,STORICO-20260717-SPRAY,2026-07-17,,Spray Dryer,S26/0164,,WSDRHMFC0207000A,Semilavorato Frangula corteccia e.s.>=7%glucofranguline calcolate come glucofrangulina A,0.0,0,0,153.0,213.0,71.83098591549296,153.0,,,STORICO_GESTIONALE_ATOM | Seriale 0000030170 | Taglio da esplosione commessa
HIST-ATOM-0000030062-S26/0161,STORICO-20260709-SPRAY,2026-07-09,,Spray Dryer,S26/0161,,WSDTRXOC14R0400A,Semilavorato Tarassaco radice estratto  secco D/E 4:1,0.0,0,0,82.28,205.7,40.0,82.28,,,STORICO_GESTIONALE_ATOM | Seriale 0000030062 | Taglio standard 40% per assenza distinta completa
HIST-ATOM-0000030061-S26/0163,STORICO-20260709-SPRAY,2026-07-09,,Spray Dryer,S26/0163,,WSDADNCC07R0400A,Semilavorato Capelvenere erba e.s.      D/E 4:1,0.0,0,0,50.0,170.0,29.411764705882355,68.0,,,STORICO_GESTIONALE_ATOM | Seriale 0000030061 | Taglio da esplosione commessa
HIST-ATOM-0000030059-S26/0160,STORICO-20260708-SPRAY,2026-07-08,,Spray Dryer,S26/0160,,WSDURTDC08R0200A,Semilavorato Ortica foglia estratto secc,0.0,0,0,136.60000000000002,381.6,35.79664570230609,152.64000000000001,,,STORICO_GESTIONALE_ATOM | Seriale 0000030059 | Taglio da esplosione commessa
HIST-ATOM-0000030054-S26/0155,STORICO-20260707-SPRAY,2026-07-07,,Spray Dryer,S26/0155,,WSDSLVOC0800500A,Semilavorato Salvia foglie e.s.         acquoso 0.5%-1% tot. idross. come ac. rosmarinico,0.0,0,0,232.7,357.7,65.0545149566676,232.7,,,STORICO_GESTIONALE_ATOM | Seriale 0000030054 | Taglio da esplosione commessa
